553830616 : 	0	0	C0	28	0	0	0	2B	
555939808 : 	60	0	0	28	0	0	0	30	
557345196 : 	60	0	0	28	0	0	0	12	
558551600 : 	60	0	0	28	0	0	0	12	
559453620 : 	60	0	0	28	0	0	0	21	
559856696 : 	60	0	0	28	0	0	0	21	
559957756 : 	60	0	0	28	0	0	0	30	
560962796 : 	60	0	0	28	0	0	0	12	
562367848 : 	60	0	0	28	0	0	0	30	
563373148 : 	60	0	0	28	0	0	0	12	
563673956 : 	60	0	0	28	0	0	0	3	
564277968 : 	60	0	0	28	0	0	0	21	
566085236 : 	60	0	0	28	0	0	0	3	
570002292 : 	60	0	0	28	0	0	0	30	
571207768 : 	60	0	0	28	0	0	0	30	
571308744 : 	60	0	0	28	0	0	0	3	
571510704 : 	60	0	0	28	0	0	0	21	
572215776 : 	60	0	0	28	0	0	0	12	
573721892 : 	60	0	0	28	0	0	0	3	
578644920 : 	60	0	0	28	0	0	0	12	
578743524 : 	60	0	0	28	0	0	0	21	
581056032 : 	60	0	0	28	0	0	0	12	
581154892 : 	60	0	0	28	0	0	0	21	
583265012 : 	60	0	0	28	0	0	0	30	
583365056 : 	60	0	0	28	0	0	0	3	
583665616 : 	60	0	0	28	0	0	0	30	
586279032 : 	60	0	0	28	0	0	0	12	
586682012 : 	60	0	0	28	0	0	0	12	
589795308 : 	60	0	0	28	0	0	0	3	
590597288 : 	60	0	0	28	0	0	0	3	
591402152 : 	60	0	0	28	0	0	0	3	
593713128 : 	60	0	0	28	0	0	0	30	
594316464 : 	60	0	0	28	0	0	0	12	
596225896 : 	60	0	0	28	0	0	0	3	
596828212 : 	60	0	0	28	0	0	0	21	
597431536 : 	60	0	0	28	0	0	0	3	
598033336 : 	60	0	0	28	0	0	0	21	
598336448 : 	60	0	0	28	0	0	0	12	
599241440 : 	60	0	0	28	0	0	0	21	
600445468 : 	60	0	0	28	0	0	0	21	
600646408 : 	60	0	0	28	0	0	0	3	
600848792 : 	60	0	0	28	0	0	0	21	
601853492 : 	60	0	0	28	0	0	0	3	
602762484 : 	60	0	0	28	0	0	0	12	
603562672 : 	60	0	0	28	0	0	0	12	
604165156 : 	60	0	0	28	0	0	0	30	
604466052 : 	60	0	0	28	0	0	0	21	
606375576 : 	60	0	0	28	0	0	0	12	
606577620 : 	60	0	0	28	0	0	0	30	
607181376 : 	60	0	0	28	0	0	0	12	
607481596 : 	60	0	0	28	0	0	0	3	
607682712 : 	60	0	0	28	0	0	0	21	
608385996 : 	60	0	0	28	0	0	0	12	
609189588 : 	60	0	0	28	0	0	0	12	
609692532 : 	60	0	0	28	0	0	0	21	
610897152 : 	60	0	0	28	0	0	0	21	
611200348 : 	60	0	0	28	0	0	0	12	
612404456 : 	60	0	0	28	0	0	0	12	
612504248 : 	60	0	0	28	0	0	0	21	
613709376 : 	60	0	0	28	0	0	0	21	
614413772 : 	60	0	0	28	0	0	0	12	
614713652 : 	60	0	0	28	0	0	0	3	
616022228 : 	60	0	0	28	0	0	0	12	
616724920 : 	60	0	0	28	0	0	0	3	
617326976 : 	60	0	0	28	0	0	0	21	
617529020 : 	60	0	0	28	0	0	0	3	
618032392 : 	60	0	0	28	0	0	0	12	
618533128 : 	60	0	0	28	0	0	0	21	
713322284 : 	0	0	C0	28	0	0	0	2B	
715030780 : 	60	0	0	28	0	0	0	30	
716240000 : 	60	0	0	28	0	0	0	30	
718950812 : 	60	0	0	28	0	0	0	21	
719151164 : 	60	0	0	28	0	0	0	3	
719352608 : 	60	0	0	28	0	0	0	21	
724277760 : 	70	0	0	28	0	0	0	3F	
724979868 : 	70	0	0	28	0	0	0	20	
725582768 : 	70	0	0	28	0	0	0	2	
726991388 : 	70	0	0	28	0	0	0	20	
727993372 : 	70	0	0	28	0	0	0	2	
729199092 : 	70	0	0	28	0	0	0	2	
729399692 : 	70	0	0	28	0	0	0	20	
729500588 : 	70	0	0	28	0	0	0	3F	
730604312 : 	70	0	0	28	0	0	0	20	
730805428 : 	70	0	0	28	0	0	0	2	
732312984 : 	70	0	0	28	0	0	0	3F	
732916140 : 	70	0	0	28	0	0	0	11	
733117080 : 	70	0	0	28	0	0	0	3F	
733215940 : 	70	0	0	28	0	0	0	2	
735426532 : 	60	0	0	28	0	0	0	21	
735733212 : 	60	0	0	28	0	0	0	12	
736732556 : 	60	0	0	28	0	0	0	30	
736934176 : 	60	0	0	28	0	0	0	12	
737334448 : 	60	0	0	28	0	0	0	12	
738842936 : 	60	0	0	28	0	0	0	3	
740352032 : 	60	0	0	28	0	0	0	30	
741356216 : 	60	0	0	28	0	0	0	12	
741958440 : 	60	0	0	28	0	0	0	30	
742560844 : 	60	0	0	28	0	0	0	12	
743966744 : 	60	0	0	28	0	0	0	30	
747281908 : 	60	0	0	28	0	0	0	3	
747683964 : 	60	0	0	28	0	0	0	3	
747986300 : 	60	0	0	28	0	0	0	30	
748591928 : 	60	0	0	28	0	0	0	12	
750396484 : 	60	0	0	28	0	0	0	30	
751097644 : 	60	0	0	28	0	0	0	21	
751700888 : 	60	0	0	28	0	0	0	3	
753911140 : 	60	0	0	28	0	0	0	21	
754111232 : 	60	0	0	28	0	0	0	3	
754614516 : 	60	0	0	28	0	0	0	12	
755016480 : 	60	0	0	28	0	0	0	12	
755418616 : 	60	0	0	28	0	0	0	12	
757228948 : 	60	0	0	28	0	0	0	30	
757631088 : 	60	0	0	28	0	0	0	30	
758232124 : 	60	0	0	28	0	0	0	12	
758533016 : 	60	0	0	28	0	0	0	3	
759337968 : 	60	0	0	28	0	0	0	3	
761651752 : 	60	0	0	28	0	0	0	30	
762453728 : 	60	0	0	28	0	0	0	30	
763357448 : 	60	0	0	28	0	0	0	3	
764563852 : 	60	0	0	28	0	0	0	3	
764764960 : 	60	0	0	28	0	0	0	21	
766371892 : 	60	0	0	28	0	0	0	21	
766773432 : 	60	0	0	28	0	0	0	21	
767577108 : 	60	0	0	28	0	0	0	21	
768181452 : 	60	0	0	28	0	0	0	3	
771697052 : 	60	0	0	28	0	0	0	30	
776121728 : 	60	0	0	28	0	0	0	30	
777826996 : 	60	0	0	28	0	0	0	3	
779735672 : 	60	0	0	28	0	0	0	30	
780036656 : 	60	0	0	28	0	0	0	21	
780439648 : 	60	0	0	28	0	0	0	21	
781443916 : 	60	0	0	28	0	0	0	3	
783153272 : 	60	0	0	28	0	0	0	12	
784157544 : 	60	0	0	28	0	0	0	30	
785764892 : 	60	0	0	28	0	0	0	30	
785864772 : 	60	0	0	28	0	0	0	3	
786972656 : 	60	0	0	28	0	0	0	30	
787473220 : 	60	0	0	28	0	0	0	3	
788478012 : 	60	0	0	28	0	0	0	21	
788780268 : 	60	0	0	28	0	0	0	12	
790686736 : 	60	0	0	28	0	0	0	3	
791490320 : 	60	0	0	28	0	0	0	3	
795107836 : 	60	0	0	28	0	0	0	3	
796313652 : 	60	0	0	28	0	0	0	3	
796415060 : 	60	0	0	28	0	0	0	12	
798323216 : 	60	0	0	28	0	0	0	3	
799027016 : 	60	0	0	28	0	0	0	30	
799126724 : 	60	0	0	28	0	0	0	3	
799729720 : 	60	0	0	28	0	0	0	21	
799931508 : 	60	0	0	28	0	0	0	3	
801840348 : 	60	0	0	28	0	0	0	30	
803649400 : 	60	0	0	28	0	0	0	12	
807269636 : 	60	0	0	28	0	0	0	12	
809576368 : 	60	0	0	28	0	0	0	3	
809676752 : 	60	0	0	28	0	0	0	12	
810581832 : 	60	0	0	28	0	0	0	21	
812190032 : 	60	0	0	28	0	0	0	21	
812591400 : 	60	0	0	28	0	0	0	21	
812995492 : 	60	0	0	28	0	0	0	21	
813998492 : 	60	0	0	28	0	0	0	3	
814501860 : 	60	0	0	28	0	0	0	12	
814601652 : 	60	0	0	28	0	0	0	21	
816510156 : 	60	0	0	28	0	0	0	12	
816610032 : 	60	0	0	28	0	0	0	21	
817116804 : 	60	0	0	28	0	0	0	30	
818618244 : 	60	0	0	28	0	0	0	21	
819221316 : 	60	0	0	28	0	0	0	3	
820930836 : 	60	0	0	28	0	0	0	12	
823341352 : 	60	0	0	28	0	0	0	12	
823943408 : 	60	0	0	28	0	0	0	30	
825349560 : 	60	0	0	28	0	0	0	12	
826155360 : 	60	0	0	28	0	0	0	12	
826556136 : 	60	0	0	28	0	0	0	12	
833790232 : 	60	0	0	28	0	0	0	12	
834292328 : 	60	0	0	28	0	0	0	21	
835198428 : 	60	0	0	28	0	0	0	30	
836202700 : 	60	0	0	28	0	0	0	12	
838615596 : 	60	0	0	28	0	0	0	12	
839116756 : 	60	0	0	28	0	0	0	21	
839418252 : 	60	0	0	28	0	0	0	12	
839518304 : 	60	0	0	28	0	0	0	21	
842732996 : 	60	0	0	28	0	0	0	21	
843939148 : 	60	0	0	28	0	0	0	21	
844342216 : 	60	0	0	28	0	0	0	21	
846753752 : 	60	0	0	28	0	0	0	21	
847958968 : 	60	0	0	28	0	0	0	21	
848059180 : 	60	0	0	28	0	0	0	30	
848159228 : 	60	0	0	28	0	0	0	3	
849267116 : 	60	0	0	28	0	0	0	30	
849769128 : 	60	0	0	28	0	0	0	3	
849969308 : 	60	0	0	28	0	0	0	21	
850270456 : 	60	0	0	28	0	0	0	12	
850371436 : 	60	0	0	28	0	0	0	21	
850973576 : 	60	0	0	28	0	0	0	3	
851479672 : 	60	0	0	28	0	0	0	12	
852882424 : 	60	0	0	28	0	0	0	30	
853284300 : 	60	0	0	28	0	0	0	30	
853485244 : 	60	0	0	28	0	0	0	12	
854289432 : 	60	0	0	28	0	0	0	12	
857302932 : 	60	0	0	28	0	0	0	30	
859011184 : 	60	0	0	28	0	0	0	3	
860417500 : 	60	0	0	28	0	0	0	21	
860819472 : 	60	0	0	28	0	0	0	21	
864139056 : 	60	0	0	28	0	0	0	30	
865141632 : 	60	0	0	28	0	0	0	12	
